funcao,atualiza_cache_apos_gravar
saveLead,sim
saveClient,sim
deleteClient,sim
saveProposal,sim
updateProposalStatus,sim
duplicateProposal,sim
deleteProposal,sim
cfgSaveSafe,sim
cfgLogoSafe,sim
saveSupplier,sim
deleteSupplier,sim
savePartner,sim
deletePartner,sim
saveAfterSale,sim
deleteAfterSale,sim
saveInput,sim
deleteInput,sim
saveProposalModel,sim
duplicateProposalModel,sim
toggleProposalModel,sim
deleteProposalModel,sim
ensureMeasurementDraft,não
saveMeasurement,sim
deleteMeasurement,sim
savePurchase,sim
purchaseSetStatus,sim
deletePurchase,sim
saveDocTemplate,sim
duplicateDocTemplate,sim
toggleDocTemplate,sim
deleteDocTemplate,sim
seedDocTemplates,sim
saveProduction,sim
deleteProduction,sim
moveProduction,sim
createProductionFromProposal,sim
ccSaveConfig,sim
saveCutPlan,sim
deleteCutPlan,sim
saveRemnant,sim
remSetStatus,sim
deleteRemnant,sim
remCommitImports,sim
saveTeam,sim
teamToggle,sim
deleteTeam,sim
saveAgenda,sim
agSetStatus,sim
deleteAgenda,sim
finCreateBudget,sim
