sku,nome,qtd,qtd_min,preco,rua,prateleira,gaveta,foto
001,DOBRADIÇAS RETAS SEM AMORTECEDOR SEM CLIC,2,10,6.0,A,A,A,001
002,DOBRADIÇAS RETAS COM AMORTECEDOR COM CLIC,0,10,6.0,A,A,C,002
003,DOBRADIÇAS CURVAS SEM AMORTECEDOR SEM CLIC,00,10,7,A,B,A,003
004,DOBRADIÇAS CURVAS COM AMORTECEDOR COM CLIC,25,10,7.0,A,B,B,004
005,DOBRADIÇAS SUPER ALTA RETA SEM AMORTECEDOR,6,10,8,A,C,A,005
006,DOBRADIÇAS SUPER ALTA RETA COM AMORTECEDOR,0,10,8,A,C,B,006
007,DOBRADIÇAS 165º RETA COM AMORTECEDOR CLIC,0,10,9,A,D,A,007
008,DOBRADIÇAS 165º RETA COM AMORTECEDOR COM CLIC,0,10,9,A,D,B,008
009,DOBRADIÇAS 165º CURVA SEM AMORTECEDOR SEM CLIC,0,10,10,B,A,A,009
010,DOBRADIÇAS 165º CURVA COM AMORTECEDOR COM CLIC,0,10,10,B,A,B,010
011,DOBRADIÇAS DE SOBREPOR SEM AMORTECEDOR SEM CLIC,0,10,11,B,B,A,011
012,DOBRADIÇAS DE SOBREPOR COM AMORTECEDOR COM CLIC,0,10,11,B,B,B,012
013,DOBRADIÇAS DE CANTO SEM AMORTECEDOR SEM CLIC,0,10,12,B,C,A,013
014,DOBRADIÇAS DE CANTO COM AMORTECEDOR COM CLIC,0,10,12,B,C,B,014
015,DOBRADIÇAS ARTICULADAS SEM AMORTECEDOR SEM CLIC,0,10,13,B,D,A,015
016,DOBRADIÇAS ARTICULADAS COM AMORTECEDOR COM CLIC,0,10,13,B,D,B,016
017,DOBRADIÇAS DE PRESSÃO SEM AMORTECEDOR SEM CLIC,0,10,14,C,A,A,017
018,DOBRADIÇAS DE PRESSÃO COM AMORTECEDOR COM CLIC,0,10,14,C,A,B,018
019,DOBRADIÇAS DE MOLA SEM AMORTECEDOR SEM CLIC,0,10,15,C,B,A,019
020,DOBRADIÇAS DE MOLA COM AMORTECEDOR COM CLIC,0,10,15,C,B,B,020
021,DOBRADIÇAS DE CANTO INVISÍVEL SEM AMORTECEDOR SEM CLIC,0,10,16,C,C,A,021
022,DOBRADIÇAS DE CANTO INVISÍVEL COM AMORTECEDOR COM CLIC,0,10,16,C,C,B,022
023,DOBRADIÇAS DE SOBREPOR INVISÍVEL SEM AMORTECEDOR SEM CLIC,0,10,17,C,D,A,023
024,DOBRADIÇAS DE SOBREPOR INVISÍVEL COM AMORTECEDOR COM CLIC,0,10,17,C,D,B,024
025,DOBRADIÇAS DE PRESSÃO INVISÍVEL SEM AMORTECEDOR SEM CLIC,0,10,18,D,A,A,025
026,DOBRADIÇAS DE PRESSÃO INVISÍVEL COM AMORTECEDOR COM CLIC,0,10,18,D,A,B,026
027,DOBRADIÇAS DE MOLA INVISÍVEL SEM AMORTECEDOR SEM CLIC,0,10,19,D,B,A,027
028,DOBRADIÇAS DE MOLA INVISÍVEL COM AMORTECEDOR COM CLIC,0,10,19,D,B,B,028
029,CORREDIÇAS TELESCÓPICAS 250MM,10,10,45.0,D,C,A,029
030,CORREDIÇAS TELESCÓPICAS 350MM,0,10,20,D,C,B,030
031,CORREDIÇAS TELESCÓPICAS 450MM,0,10,21,D,D,A,031
032,CORREDIÇAS TELESCÓPICAS 550MM,2,1,21.0,D,D,B,032
033,CORREDIÇAS DE ESFERAS 250MM,0,10,22,E,A,A,033
034,CORREDIÇAS DE ESFERAS 350MM,0,10,22,E,A,B,034
035,CORREDIÇAS DE ESFERAS 450MM,0,10,23,E,B,A,035
036,CORREDIÇAS DE ESFERAS 550MM,0,10,23,E,B,B,036
037,CORREDIÇAS OCULTAS FGVTN 250MM,0,10,24,E,C,A,037
038,CORREDIÇAS OCULTAS FGVTN 350MM,2,1,56.9,E,C,B,038
039,CORREDIÇAS OCULTAS FGVTN 450MM,0,25,E,D,A,039,
040,CORREDIÇAS OCULTAS FGVTN 500MM,9,1,78.0,E,D,B,040
041,CORREDIÇAS OCULTAS FGVTN 550MM,0,10,25,E,D,C,041
042,CORREDIÇAS OCULTAS FGVTN 600MM,0,10,26,E,D,D,042
043,ARTICULADORA DE PORTA HAFELE MOD ,0,20,25,F,A,A,043
044,ARTICULADORA DE PORTA HAFELE MOD ,0,20,25,F,A,B,044
045,ARTICULADORA DE PORTA HAFELE MOD ,0,20,25,F,A,C,045
046,ARTICULADORA DE PORTA FGVTN MOD ,0,20,25,F,B,A,046
047,ARTICULADORA DE PORTA FGVTN MOD ,0,20,25,F,B,B,047
048,ARTICULADORA DE PORTA FGVTN MOD ,0,20,25,F,B,C,048
049,ARTICULADORA DE PORTA FGVTN MOD ,0,20,25,F,C,A,049
050,ARTICULADORA DE PORTA FGVTN MOD ,0,20,25,F,C,B,050
051,PULSADOR MAGNETICO SIMPLES BRANCO FGVTN,0,50,5,F,D,A,051
052,PULSADOR MAGNETICO SIMPLES CINZA FGVTN,0,50,5,F,D,B,052
053,PULSADOR MAGNETICO SIMPLES BRANCO EMBUTIR FGVTN,0,50,5,F,D,C,053
054,PULSADOR MAGNETICO SIMPLES CINZA EMBUTIR FGVTN,0,50,5,F,D,D,054
058,PERFIL DE ALUMINIO M0215 LEO BRONZE,0,5M,80,100,20,F,055
059,PERFIL DE ALUMINIO M0215 LEO BRANCO ANODIZADO,0,5M,60,100,22,F,059
060,PERFIL DE ALUMINIO M0215 LEO PRETO FOSCO,0,5M,50,100,25,F,060
061,PERFIL DE ALUMINIO M0215 LEO CROMADO,0,5M,40,100,30,F,061
062,PERFIL DE ALUMINIO M0215 LEO DOURADO,0,5M,30,100,35,F,062
063,PERFIL DE ALUMINIO M0215 LEO ANODIZADO COLORIDO,0,5M,20,100,40,F,063
055,PERFIL M0218 CINZA ANODIZADO BARRA 3MT,0,1,85.0,D,D,A,055
056,FITA DE BORDA BCO TX 22MM ORIX,105,20,2.14,D,D,D,056
057,FITA DE BORDA FREIJO PURO 22MM,100,20,2.50,D,D,C,057
058,FITA DE BORDA CINZA SAGRADO ESSENCIAL 22MM,0,20,3.75,D,D,B,058
059,FITA DE BORDA BCO TX 60MM ORIX,0,20,5.00,D,D,A,059
